Product,Order Date,Price
LuminaX Pro Camera,2023-10-10,2800.00
LensCraft Mastery Kit,2023-10-12,1500.00
SonicWave Audio Rig,2023-10-15,980.00
AstraGlide Stabilizer,2023-10-18,2000.00
PrismVision Studio Lights,2023-10-21,1400.00
ZoomBlast Microphone Set,2023-10-23,800.00
LuminaX Pro Camera,2023-10-26,2800.00
LensCraft Mastery Kit,2023-11-02,1500.00
SonicWave Audio Rig,2023-11-05,980.00
AstraGlide Stabilizer,2023-11-08,2000.00
PrismVision Studio Lights,2023-11-12,1400.00
ZoomBlast Microphone Set,2023-11-15,800.00
LuminaX Pro Camera,2023-11-18,2800.00
LensCraft Mastery Kit,2023-11-22,1500.00
SonicWave Audio Rig,2023-11-25,980.00
AstraGlide Stabilizer,2023-11-28,2000.00
PrismVision Studio Lights,2023-12-02,1400.00
ZoomBlast Microphone Set,2023-12-05,800.00
LuminaX Pro Camera,2023-12-08,2800.00
LensCraft Mastery Kit,2023-12-12,1500.00
SonicWave Audio Rig,2023-12-15,980.00
AstraGlide Stabilizer,2023-12-18,2000.00
PrismVision Studio Lights,2023-12-22,1400.00
ZoomBlast Microphone Set,2023-12-25,800.00
