Product,Order Date,Price
LuminaX Pro Camera,10-01-2023,2800
LensCraft Mastery Kit,12-01-2023,1500
SonicWave Audio Rig,15-01-2023,980
AstraGlide Stabilizer,18-01-2023,2000
PrismVision Studio Lights,21-01-2023,1400
ZoomBlast Microphone Set,23-01-2023,800
LuminaX Pro Camera,26-01-2023,2800
LensCraft Mastery Kit,02-02-2023,1500
SonicWave Audio Rig,05-02-2023,980
AstraGlide Stabilizer,08-02-2023,2000
PrismVision Studio Lights,12-02-2023,1400
ZoomBlast Microphone Set,15-02-2023,800
LuminaX Pro Camera,18-02-2023,2800
LensCraft Mastery Kit,21-02-2023,1500
SonicWave Audio Rig,24-02-2023,980
AstraGlide Stabilizer,28-02-2023,2000
PrismVision Studio Lights,03-03-2023,1400
ZoomBlast Microphone Set,06-03-2023,800
LuminaX Pro Camera,09-03-2023,2800
LensCraft Mastery Kit,13-03-2023,1500
SonicWave Audio Rig,17-03-2023,980
AstraGlide Stabilizer,21-03-2023,2000
PrismVision Studio Lights,24-03-2023,1400
ZoomBlast Microphone Set,28-03-2023,800
